tank,block,treatment,source,date,stocked,larval_period,growthrate,mass_g,hl,svl,tl,hw,phenotype,env_pheno,stage,body_condition
10,Block 4,Constant,Temporary,12/12/2017,4/8/2017,248,0.18903629,4.699,12.485,46.881,96.538,11.707,Larva,Aquatic,Larvae,0.393234407
3,Block 3,Constant,Temporary,9/27/2017,4/8/2017,172,0.256372093,3.697,12.562,44.096,85.025,11.283,Metamorph,Terrestrial,Adult,-0.001093417
21,Block 3,Drying,Temporary,9/19/2017,4/8/2017,164,0.262207317,3.06,12.563,43.002,77.368,10.629,Metamorph,Terrestrial,Adult,-0.39938844
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.174024291,3.677,12.611,42.984,86.211,11.181,Larva,Aquatic,Larvae,0.221539064
10,Block 4,Constant,Temporary,12/12/2017,4/8/2017,248,0.191201613,4.795,12.613,47.418,91.643,11.39,Paedomorph,Aquatic,Adult,0.372063865
3,Block 3,Constant,Temporary,12/12/2017,4/8/2017,248,0.195016129,4.456,12.617,48.364,95.277,11.353,Paedomorph,Aquatic,Adult,-0.1733483
10,Block 4,Constant,Temporary,12/12/2017,4/8/2017,248,0.193604839,4.781,12.675,48.014,101.343,11.659,Paedomorph,Aquatic,Adult,0.228019838
7,Block 1,Constant,Temporary,5/25/2017,4/8/2017,47,0.846659574,3.327,12.681,39.793,78.75,10.83,Metamorph,Terrestrial,Adult,0.567798279
22,Block 4,Constant,Permanent,12/11/2017,4/9/2017,246,0.18552439,4.352,12.707,45.639,92.635,10.961,Larva,Aquatic,Larvae,0.317232196
7,Block 1,Constant,Temporary,12/12/2017,4/8/2017,248,0.196879032,5.303,12.739,48.826,96.789,11.674,Paedomorph,Aquatic,Adult,0.57284576
14,Block 2,Drying,Permanent,8/13/2017,4/9/2017,126,0.35218254,3.062,12.744,44.375,82.202,11.446,Metamorph,Terrestrial,Adult,-0.696969732
24,Block 6,Constant,Permanent,12/11/2017,4/9/2017,246,0.174910569,3.514,12.752,43.028,89.801,10.75,Paedomorph,Aquatic,Adult,0.048938498
23,Block 5,Drying,Temporary,12/11/2017,4/8/2017,247,0.196194332,5.988,12.758,48.46,96.517,12.393,Paedomorph,Aquatic,Adult,1.337705011
17,Block 5,Drying,Permanent,12/11/2017,4/9/2017,246,0.148739837,1.912,12.803,36.59,69.176,9.137,Larva,Aquatic,Larvae,-0.14832417
11,Block 5,Constant,Temporary,6/16/2017,4/8/2017,69,0.592869565,2.586,12.828,40.908,71.429,9.906,Metamorph,Terrestrial,Adult,-0.416488786
22,Block 4,Constant,Permanent,12/11/2017,4/9/2017,246,0.193914634,4.512,12.84,47.703,91.654,10.652,Larva,Aquatic,Larvae,0.026878382
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.171554656,3.12,12.883,42.374,87.446,11.123,Larva,Aquatic,Larvae,-0.202362183
13,Block 1,Drying,Permanent,6/28/2017,4/9/2017,80,0.5157625,3.083,12.897,41.261,76.935,10.287,Metamorph,Terrestrial,Adult,0.003488493
14,Block 2,Drying,Permanent,12/11/2017,4/9/2017,246,0.19596748,4.504,12.915,48.208,90.915,11.394,Paedomorph,Aquatic,Adult,-0.09130993
23,Block 5,Drying,Temporary,12/11/2017,4/8/2017,247,0.196287449,5.202,12.924,48.483,93.459,11.48,Paedomorph,Aquatic,Adult,0.546686534
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.17942915,3.587,12.929,44.319,86.438,10.915,Larva,Aquatic,Larvae,-0.15975083
21,Block 3,Drying,Temporary,12/11/2017,4/8/2017,247,0.193384615,4.956,12.963,47.766,94.06,12.15,Larva,Aquatic,Larvae,0.457132117
16,Block 4,Drying,Temporary,12/11/2017,4/8/2017,247,0.194785425,5.62,13.016,48.112,91.367,11.266,Paedomorph,Aquatic,Adult,1.045636759
19,Block 1,Constant,Permanent,12/11/2017,4/9/2017,246,0.186703252,4.083,13.031,45.929,91.416,11.747,Larva,Aquatic,Larvae,-0.01504426
19,Block 1,Constant,Permanent,12/11/2017,4/9/2017,246,0.198528455,3.08,13.046,48.838,97.562,11.788,Paedomorph,Aquatic,Adult,-1.652772577
1,Block 1,Drying,Temporary,12/12/2017,4/8/2017,248,0.19425,6.203,13.114,48.174,96.878,11.43,Paedomorph,Aquatic,Adult,1.615108689
12,Block 6,Drying,Permanent,12/12/2017,4/9/2017,247,0.195093117,4.219,13.118,48.188,94.021,12.027,Larva,Aquatic,Larvae,-0.371946036
2,Block 2,Constant,Permanent,12/12/2017,4/9/2017,247,0.19162753,3.936,13.148,47.332,89.495,11.152,Larva,Aquatic,Larvae,-0.468171393
22,Block 4,Constant,Permanent,12/11/2017,4/9/2017,246,0.184308943,3.862,13.179,45.34,91.264,11.388,Larva,Aquatic,Larvae,-0.107527596
23,Block 5,Drying,Temporary,12/11/2017,4/8/2017,247,0.198603239,6.058,13.251,49.055,97.176,12.14,Paedomorph,Aquatic,Adult,1.277879179
22,Block 4,Constant,Permanent,12/11/2017,4/9/2017,246,0.194906504,5.289,13.281,47.947,100.159,11.551,Paedomorph,Aquatic,Adult,0.750638881
1,Block 1,Drying,Temporary,6/28/2017,4/8/2017,81,0.526592593,3.454,13.397,42.654,76.553,11.285,Metamorph,Terrestrial,Adult,0.070543308
14,Block 2,Drying,Permanent,12/11/2017,4/9/2017,246,0.212662602,5.713,13.573,52.315,101.422,13.086,Larva,Aquatic,Larvae,0.221564531
21,Block 3,Drying,Temporary,12/11/2017,4/8/2017,247,0.205093117,5.73,13.575,50.658,104.205,11.193,Paedomorph,Aquatic,Adult,0.600113111
3,Block 3,Constant,Temporary,12/12/2017,4/8/2017,248,0.191943548,4.801,13.901,47.602,96.268,12.047,Paedomorph,Aquatic,Adult,0.337916045
